pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
FABEG7D8C8MMFGNJ,Abhinl Fashion Cotton Printed Semi-stitched Salwar Suit Dupatta Material,Abhinl Fashion,http://www.flipkart.com/abhinl-fashion-cotton-printed-semi-stitched-salwar-suit-dupatta-material/p/itmeg7d8gsjvd9tx?pid=FABEG7D8C8MMFGNJ,2599,999,No rating available
FABEG7D8CVH8YJAQ,Abhinl Fashion Cotton Printed Semi-stitched Salwar Suit Dupatta Material,Abhinl Fashion,http://www.flipkart.com/abhinl-fashion-cotton-printed-semi-stitched-salwar-suit-dupatta-material/p/itmeg7d8xchsvq65?pid=FABEG7D8CVH8YJAQ,2599,999,No rating available
FABEG7D8SFXTJCUD,Abhinl Fashion Cotton Printed Semi-stitched Salwar Suit Dupatta Material,Abhinl Fashion,http://www.flipkart.com/abhinl-fashion-cotton-printed-semi-stitched-salwar-suit-dupatta-material/p/itmeg7d8fdhbzstc?pid=FABEG7D8SFXTJCUD,2599,999,No rating available
FABEG8GFDUWRSNU3,Aarushi Fashion Chanderi Embroidered Salwar Suit Dupatta Material,Aarushi Fashion,http://www.flipkart.com/aarushi-fashion-chanderi-embroidered-salwar-suit-dupatta-material/p/itmeg8gf25zgyzup?pid=FABEG8GFDUWRSNU3,2600,1300,No rating available
FABEG8GYDAABECZH,Aarushi Fashion Silk Striped Salwar Suit Dupatta Material,Aarushi Fashion,http://www.flipkart.com/aarushi-fashion-silk-striped-salwar-suit-dupatta-material/p/itmeg8gyfzhtxjxm?pid=FABEG8GYDAABECZH,2800,1350,No rating available
FABEG953TRCT4ENH,JHON DIEGO Viscose Self Design Suit Fabric,JHON DIEGO,http://www.flipkart.com/jhon-diego-viscose-self-design-suit-fabric/p/itmeg953nwhgedj7?pid=FABEG953TRCT4ENH,1800,699,No rating available
FABEG9CY7FZQQJYE,"Styleworld Chanderi, Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material",Styleworld,http://www.flipkart.com/styleworld-chanderi-cotton-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeg9cyakjfnnct?pid=FABEG9CY7FZQQJYE,2952,1392,No rating available
FABEGAMP7ST6KS5F,NEWLOOK Georgette Embroidered Semi-stitched Salwar Suit Dupatta Material,NEWLOOK,http://www.flipkart.com/newlook-georgette-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmegamp9pgzfkvh?pid=FABEGAMP7ST6KS5F,4599,1499,No rating available
FABEGBT3NZXS32YG,texclusive Silk Embroidered Semi-stitched Salwar Suit Dupatta Material,texclusive,http://www.flipkart.com/texclusive-silk-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmegbt3d43pfueg?pid=FABEGBT3NZXS32YG,5000,2190,No rating available
FABEGBT4TYKNDRXP,Awesome Fab Georgette Embroidered Semi-stitched Salwar Suit Dupatta Material,Awesome Fab,http://www.flipkart.com/awesome-fab-georgette-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmegbt45hhbgqdy?pid=FABEGBT4TYKNDRXP,3999,1699,No rating available
FABEGC2G3CVZUT5Y,"JDK NOVELTY Brocade, Art Silk, Organza Floral Print Multi-purpose Fabric, Kurta & Pallazo Material, Kurti Fabric, Lace, Salwar Suit Material, Jacket Fabric, Kurta Fabric, Lehenga Choli Material, Blouse Material, Kurta & Churidar Material, Kurta & Patiyala Material, Dress/Top Material, Sherwani Fabric",JDK NOVELTY,http://www.flipkart.com/jdk-novelty-brocade-art-silk-organza-floral-print-multi-purpose-fabric-kurta-pallazo-material-kurti-lace-salwar-suit-jacket-lehenga-choli-blouse-churidar-patiyala-dress-top-sherwani-fabric/p/itmegc2gf4y77gzn?pid=FABEGC2G3CVZUT5Y,750,434,No rating available
FABEGCGXCDYRFANH,kush creation Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material,kush creation,http://www.flipkart.com/kush-creation-cotton-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmegcgx5z7dbhm4?pid=FABEGCGXCDYRFANH,2200,1199,No rating available
FABEGCZQPT3VWTQU,Fashion Forever Georgette Embroidered Multi-purpose Fabric,Fashion Forever,http://www.flipkart.com/fashion-forever-georgette-embroidered-multi-purpose-fabric/p/itmegczqkwhur4rj?pid=FABEGCZQPT3VWTQU,3699,2649,No rating available
FABEGD5GGRMN7HTV,Shayona Net Embroidered Multi-purpose Fabric,Shayona,http://www.flipkart.com/shayona-net-embroidered-multi-purpose-fabric/p/itmegd5g8ucpydhy?pid=FABEGD5GGRMN7HTV,3599,799,No rating available
FABEGEYCENJAZQF9,NEWLOOK Net Embroidered Semi-stitched Salwar Suit Dupatta Material,NEWLOOK,http://www.flipkart.com/newlook-net-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmegeycm4wezett?pid=FABEGEYCENJAZQF9,3999,1599,No rating available
FABEGGHHDFMY8BZU,Sinina Chanderi Embroidered Salwar Suit Dupatta Material,Sinina,http://www.flipkart.com/sinina-chanderi-embroidered-salwar-suit-dupatta-material/p/itmegghhvekngdpp?pid=FABEGGHHDFMY8BZU,2980,1490,No rating available
FABEGGHHGSVCHGFV,Sinina Chanderi Embroidered Salwar Suit Dupatta Material,Sinina,http://www.flipkart.com/sinina-chanderi-embroidered-salwar-suit-dupatta-material/p/itmegghhcc3egqzj?pid=FABEGGHHGSVCHGFV,2000,1000,No rating available
FABEGNH4QYPJG86V,Shree Creation Net Embroidered Semi-stitched Gown,Shree Creation,http://www.flipkart.com/shree-creation-net-embroidered-semi-stitched-gown/p/itmegnh4w6xwdeg5?pid=FABEGNH4QYPJG86V,3999,999,No rating available
FABEGPFVBJGCF5GD,Neon Cotton Embroidered Multi-purpose Fabric,Neon,http://www.flipkart.com/neon-cotton-embroidered-multi-purpose-fabric/p/itmegpfv7ysxga28?pid=FABEGPFVBJGCF5GD,1414,708,No rating available
FABEGPFVF5CEHHDV,Neon Cotton Embroidered Multi-purpose Fabric,Neon,http://www.flipkart.com/neon-cotton-embroidered-multi-purpose-fabric/p/itmegpfvgwzxx52z?pid=FABEGPFVF5CEHHDV,1730,865,No rating available
FABEGPFVGHHH2SEA,Neon Cotton Embroidered Multi-purpose Fabric,Neon,http://www.flipkart.com/neon-cotton-embroidered-multi-purpose-fabric/p/itmegpfvtdd2fwtm?pid=FABEGPFVGHHH2SEA,1730,865,No rating available
FABEGPFVHSVXJ5VN,Neon Georgette Embroidered Multi-purpose Fabric,Neon,http://www.flipkart.com/neon-georgette-embroidered-multi-purpose-fabric/p/itmegpfvvbf8fynz?pid=FABEGPFVHSVXJ5VN,2296,1148,No rating available
FABEGPFVMDQBDMBY,Neon Cotton Embroidered Multi-purpose Fabric,Neon,http://www.flipkart.com/neon-cotton-embroidered-multi-purpose-fabric/p/itmegpfv4fxsrasu?pid=FABEGPFVMDQBDMBY,1280,640,No rating available
FABEH23A8G9NAP6T,Zombom Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material,Zombom,http://www.flipkart.com/zombom-cotton-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeh23aznyrca6v?pid=FABEH23A8G9NAP6T,2499,959,No rating available
FABEH2JKYTARAYRD,UMA TRADERS Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material,UMA TRADERS,http://www.flipkart.com/uma-traders-cotton-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeh2jkypcxasff?pid=FABEH2JKYTARAYRD,2499,999,No rating available
FABEH2JYVTGFEEFT,UMA TRADERS Chanderi Embroidered Semi-stitched Salwar Suit Dupatta Material,UMA TRADERS,http://www.flipkart.com/uma-traders-chanderi-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeh2jyzfgjtghp?pid=FABEH2JYVTGFEEFT,1999,849,No rating available
FABEH3PHASHTTANZ,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,VIHA,http://www.flipkart.com/viha-net-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeh3phkyuukspk?pid=FABEH3PHASHTTANZ,4999,2699,No rating available
FABEH3PHHZ37AZAF,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,VIHA,http://www.flipkart.com/viha-net-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeh3phdagufagf?pid=FABEH3PHHZ37AZAF,4999,2699,No rating available
FABEH3PHVMXXWTMA,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,VIHA,http://www.flipkart.com/viha-net-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeh3ph4gzvb4vm?pid=FABEH3PHVMXXWTMA,4999,1349,No rating available
FABEH3PHY4AFAZ6U,VIHA Net Embroidered Semi-stitched Salwar Suit Dupatta Material,VIHA,http://www.flipkart.com/viha-net-embroidered-semi-stitched-salwar-suit-dupatta-material/p/itmeh3phjuuhysqr?pid=FABEH3PHY4AFAZ6U,4999,2699,No rating available
FABEH7XBBN6P9JEE,"JDK NOVELTY Brocade, Art Silk, Organza Self Design Multi-purpose Fabric, Kurti Fabric, Blouse Material, Kurta Fabric, Dress/Top Material, Jacket Fabric, Kurta & Pallazo Material, Sherwani Fabric, Kurta & Churidar Material, Lace, Salwar Suit Material, Kurta & Patiyala Material, Lehenga Choli Material",JDK NOVELTY,http://www.flipkart.com/jdk-novelty-brocade-art-silk-organza-self-design-multi-purpose-fabric-kurti-blouse-material-kurta-dress-top-jacket-pallazo-sherwani-churidar-lace-salwar-suit-patiyala-lehenga-choli-material/p/itmeh7xbzhzzx8xn?pid=FABEH7XBBN6P9JEE,690,475,No rating available
FABEHAED9RGAMGHN,"JDK NOVELTY Brocade, Art Silk, Organza Floral Print Multi-purpose Fabric, Kurti Fabric, Blouse Material, Kurta Fabric, Dress/Top Material, Jacket Fabric, Kurta & Pallazo Material, Sherwani Fabric, Kurta & Churidar Material, Lace, Salwar Suit Material, Kurta & Patiyala Material, Lehenga Choli Material",JDK NOVELTY,http://www.flipkart.com/jdk-novelty-brocade-art-silk-organza-floral-print-multi-purpose-fabric-kurti-blouse-material-kurta-dress-top-jacket-pallazo-sherwani-churidar-lace-salwar-suit-patiyala-lehenga-choli-material/p/itmehaedtff25hgb?pid=FABEHAED9RGAMGHN,799,435,No rating available
FABEHAEDAWVHTXB2,"JDK NOVELTY Brocade, Art Silk, Organza Floral Print Multi-purpose Fabric, Kurti Fabric, Blouse Material, Kurta Fabric, Dress/Top Material, Jacket Fabric, Lehenga Choli Material, Kurta & Patiyala Material, Salwar Suit Material, Lace, Kurta & Churidar Material, Sherwani Fabric, Kurta & Pallazo Material",JDK NOVELTY,http://www.flipkart.com/jdk-novelty-brocade-art-silk-organza-floral-print-multi-purpose-fabric-kurti-blouse-material-kurta-dress-top-jacket-lehenga-choli-patiyala-salwar-suit-lace-churidar-sherwani-pallazo-material/p/itmehaedgtfw9fvq?pid=FABEHAEDAWVHTXB2,825,425,No rating available
